acceptedDate,accountPayables,accountsPayables,accountsReceivables,accumulatedOtherComprehensiveIncomeLoss,acquisitionsNet,calendarYear,capitalExpenditure,capitalLeaseObligations,cashAndCashEquivalents,cashAndShortTermInvestments,cashAtBeginningOfPeriod,cashAtEndOfPeriod,changeInWorkingCapital,cik,commonStock,commonStockIssued,commonStockRepurchased,company_name,costAndExpenses,costOfRevenue,currency,date,debtRepayment,deferredIncomeTax,deferredRevenue,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,depreciationAndAmortization,dividendsPaid,ebitda,ebitdaratio,effectOfForexChangesOnCash,eps,epsdiluted,error,exchange,fillingDate,finalLink,freeCashFlow,generalAndAdministrativeExpenses,goodwill,goodwillAndIntangibleAssets,grossProfit,grossProfitRatio,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,intangibleAssets,interestExpense,interestIncome,inventory,investmentsInPropertyPlantAndEquipment,link,longTermDebt,longTermInvestments,matched_name,minorityInterest,netCashProvidedByOperatingActivities,netCashUsedForInvestingActivites,netCashUsedProvidedByFinancingActivities,netChangeInCash,netDebt,netIncome,netIncomeRatio,netReceivables,operatingCashFlow,operatingExpenses,operatingIncome,operatingIncomeRatio,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherExpenses,otherFinancingActivites,otherInvestingActivites,otherLiabilities,otherNonCashItems,otherNonCurrentAssets,otherNonCurrentLiabilities,otherWorkingCapital,othertotalStockholdersEquity,period,preferredStock,propertyPlantEquipmentNet,purchasesOfInvestments,reportedCurrency,researchAndDevelopmentExpenses,retainedEarnings,revenue,salesMaturitiesOfInvestments,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,shortTermDebt,shortTermInvestments,stockBasedCompensation,symbol,taxAssets,taxPayables,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalDebt,totalEquity,totalInvestments,totalLiabilities,totalLiabilitiesAndStockholdersEquity,totalLiabilitiesAndTotalEquity,totalNonCurrentAssets,totalNonCurrentLiabilities,totalOtherIncomeExpensesNet,totalStockholdersEquity,weightedAverageShsOut,weightedAverageShsOutDil
2022-02-18 12:41:31,,,,,,2021.0,,,,,,,,1551152.0,,,,AbbVie,37311000000.0,17446000000.0,USD,2021-12-31,,,,,,8521000000.0,,26445000000.0,0.4705767212,,6.48,6.45,,NYSE,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,,10249000000.0,,,38751000000.0,0.689556382,12989000000.0,0.2311333345,1440000000.0,,2384000000.0,39000000.0,,,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm,,,AbbVie Inc.,,,,,,,11542000000.0,0.2053846291,,,19865000000.0,17924000000.0,0.3189494101,,,,432000000.0,,,,,,,,,FY,,,,USD,7084000000.0,,56197000000.0,,2100000000.0,12349000000.0,,,,ABBV,,,,,,,,,,,,,,-3513000000.0,,1770000000.0,1777000000.0
2022-02-18 12:41:31,2882000000.0,,,-2899000000.0,,2021.0,,738000000.0,9746000000.0,9830000000.0,,,,1551152.0,18000000.0,,,AbbVie,,,USD,2021-12-31,,,0.0,6595000000.0,3009000000.0,,,,,,,,,NYSE,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,,,32379000000.0,108330000000.0,,,,,,75951000000.0,,,3128000000.0,,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm,64189000000.0,277000000.0,AbbVie Inc.,28000000.0,,,,,66938000000.0,,,9977000000.0,,,,,0.0,4993000000.0,19817000000.0,,,,0.0,,1875000000.0,22106000000.0,,15162000000.0,FY,0.0,5110000000.0,,USD,,3127000000.0,,,,,12495000000.0,84000000.0,,ABBV,3009000000.0,0.0,146529000000.0,27928000000.0,35194000000.0,76684000000.0,15436000000.0,361000000.0,131093000000.0,146529000000.0,146529000000.0,118601000000.0,95899000000.0,,15408000000.0,,
2022-02-18 12:41:31,,1628000000.0,-1321000000.0,,-1902000000.0,2021.0,-787000000.0,,,,8449000000.0,9746000000.0,-1322000000.0,1551152.0,,1244000000.0,-934000000.0,AbbVie,,,USD,2021-12-31,-9414000000.0,-898000000.0,,,,8521000000.0,-9261000000.0,,,-97000000.0,,,,NYSE,2022-02-18,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/abbv-20211231.htm,21990000000.0,,,,,,,,,,,,-142000000.0,-787000000.0,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm,,,AbbVie Inc.,,22777000000.0,-2344000000.0,-19039000000.0,1297000000.0,,11549000000.0,,,22777000000.0,,,,,,,,-674000000.0,366000000.0,,4235000000.0,,,-1487000000.0,,FY,,,-119000000.0,USD,,,,98000000.0,,,,,692000000.0,ABBV,,,,,,,,,,,,,,,,,
2023-02-17 12:54:29,,,,,,2022.0,,,,,,,,1551152.0,,,,AbbVie,39240000000.0,17414000000.0,USD,2022-12-31,,,,,,8467000000.0,,26584000000.0,0.4579184897,,6.65,6.63,,NYSE,2023-02-17,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,,13260000000.0,,,40640000000.0,0.7000378958,13477000000.0,0.2321459331,1632000000.0,,2230000000.0,186000000.0,,,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,,,AbbVie Inc.,,,,,,,11836000000.0,0.203879147,,,21826000000.0,18117000000.0,0.3120715196,,,,56000000.0,,,,,,,,,FY,,,,USD,6510000000.0,,58054000000.0,,2000000000.0,15260000000.0,,,,ABBV,,,,,,,,,,,,,,-3293000000.0,,1771000000.0,1778000000.0
2023-02-17 12:54:29,2934000000.0,,,-2199000000.0,,2022.0,,771000000.0,9201000000.0,9229000000.0,,,,1551152.0,18000000.0,,,AbbVie,,,USD,2022-12-31,,,0.0,0.0,2190000000.0,,,,,,,,,NYSE,2023-02-17,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,,,32156000000.0,99595000000.0,,,,,,67439000000.0,,,3579000000.0,,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,59135000000.0,241000000.0,AbbVie Inc.,33000000.0,,,,,54070000000.0,,,11254000000.0,,,,,0.0,4401000000.0,22468000000.0,,,,0.0,,3381000000.0,30655000000.0,,14651000000.0,FY,0.0,4935000000.0,,USD,,4784000000.0,,,,,4136000000.0,28000000.0,,ABBV,2190000000.0,0.0,138805000000.0,28463000000.0,29538000000.0,63271000000.0,17287000000.0,269000000.0,121518000000.0,138805000000.0,138805000000.0,110342000000.0,91980000000.0,,17254000000.0,,
2023-02-17 12:54:29,,1605000000.0,-1455000000.0,,-794000000.0,2022.0,-695000000.0,,,,9746000000.0,9201000000.0,-258000000.0,1551152.0,,262000000.0,-1487000000.0,AbbVie,,,USD,2022-12-31,-14433000000.0,-1931000000.0,,,,8467000000.0,-10043000000.0,,,-62000000.0,,,,NYSE,2023-02-17,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,24248000000.0,,,,,,,,,,,,-686000000.0,-695000000.0,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,,,AbbVie Inc.,,24943000000.0,-623000000.0,-24803000000.0,-545000000.0,,11845000000.0,,,24943000000.0,,,,,,,,898000000.0,774000000.0,,6149000000.0,,,278000000.0,,FY,,,-1438000000.0,USD,,,,1530000000.0,,,,,671000000.0,ABBV,,,,,,,,,,,,,,,,,
2024-02-20 12:45:17,,,,,,2023.0,,,,,,,,1551152.0,,,,AbbVie,36893000000.0,8780000000.0,USD,2023-12-31,,,,,,8698000000.0,,18096000000.0,0.3331492323,,2.73,2.72,,NYSE,2024-02-20,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm,,10945000000.0,,,45538000000.0,0.8383592916,6250000000.0,0.1150631467,1377000000.0,,1669000000.0,540000000.0,,,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm,,,AbbVie Inc.,,,,,,,4863000000.0,0.0895283331,,,28113000000.0,17425000000.0,0.3207960529,,,,-7936000000.0,,,,,,,,,FY,,,,USD,7032000000.0,,54318000000.0,,2200000000.0,13145000000.0,,,,ABBV,,,,,,,,,,,,,,-11175000000.0,,1768000000.0,1773000000.0
2024-02-20 12:45:17,3688000000.0,,,-2305000000.0,,2023.0,,762000000.0,12814000000.0,12816000000.0,,,,1551152.0,18000000.0,,,AbbVie,,,USD,2023-12-31,,,-3688000000.0,3720000000.0,1952000000.0,,,,,,,,,NYSE,2024-02-20,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm,,,32293000000.0,87903000000.0,,,,,,55610000000.0,,,4099000000.0,,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm,52194000000.0,304000000.0,AbbVie Inc.,37000000.0,,,,,46571000000.0,,,11155000000.0,,,,,0.0,4932000000.0,30650000000.0,,,,0.0,,6561000000.0,28607000000.0,,13647000000.0,FY,0.0,4989000000.0,,USD,,-1000000000.0,,,,,7191000000.0,2000000.0,,ABBV,1952000000.0,0.0,134711000000.0,33002000000.0,37841000000.0,59385000000.0,10397000000.0,306000000.0,124314000000.0,134711000000.0,134711000000.0,101709000000.0,86473000000.0,,10360000000.0,,
2024-02-20 12:45:17,,3840000000.0,66000000.0,,-1223000000.0,2023.0,-777000000.0,,,,9201000000.0,12814000000.0,2813000000.0,1551152.0,,180000000.0,-1972000000.0,AbbVie,,,USD,2023-12-31,-4149000000.0,-2889000000.0,,,,8698000000.0,-10539000000.0,,,5000000.0,,,,NYSE,2024-02-20,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm,22062000000.0,,,,,,,,,,,,-417000000.0,-777000000.0,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm,,,AbbVie Inc.,,22839000000.0,-2009000000.0,-17222000000.0,3613000000.0,,4883000000.0,,,22839000000.0,,,,,,,,-742000000.0,13000000.0,,8587000000.0,,,-676000000.0,,FY,,,-77000000.0,USD,,,,55000000.0,,,,,747000000.0,ABBV,,,,,,,,,,,,,,,,,
2022-01-21 16:03:34,,,,,,2021.0,,,,,,,,796343.0,,,,Adobe,9983000000.0,1865000000.0,USD,2021-12-03,,,,,,861000000.0,,6590000000.0,0.4174849541,,10.1,10.02,,NASDAQ,2022-01-21,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/adbe-20211203.htm,,1085000000.0,,,13920000000.0,0.8818498575,5705000000.0,0.3614190687,883000000.0,,113000000.0,17000000.0,,,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm,,,Adobe Inc.,,,,,,,4822000000.0,0.305479886,,,8118000000.0,5802000000.0,0.3675641432,,,,172000000.0,,,,,,,,,FY,,,,USD,2540000000.0,,15785000000.0,,4321000000.0,5406000000.0,,,,ADBE,,,,,,,,,,,,,,-97000000.0,,477000000.0,481000000.0
