Original Name,Found,Matched Name,Symbol,Exchange,Currency,Reason,All Matches
The Recruitment Company,No,,,,,No match found,
DEWC Services,No,,,,,No match found,
TrainTheCrowd,No,,,,,No match found,
Luminary,No,,,,,No match found,
Belloy,No,,,,,No match found,
Informatica Australia,No,,,,,No match found,
Kaine Mathrick Tech,No,,,,,No match found,
Avenue Dental,No,,,,,No match found,
Sophos,No,,,,,No match found,
Atarix,No,,,,,No match found,
Quorum Systems,No,,,,,No match found,
Moddex Group,No,,,,,No match found,
Tiliter,No,,,,,No match found,
Hub Australia,No,,,,,No match found,
Mantel Group,No,,,,,No match found,
Sentrian,No,,,,,No match found,
Cordelta,No,,,,,No match found,
OMD Australia,No,,,,,No match found,
SEDA College (Victoria),No,,,,,No match found,
Propel Ventures,No,,,,,No match found,
Green Building Council of Australia,No,,,,,No match found,
Charterhouse,No,,,,,No match found,
Cobild,No,,,,,No match found,
BPAY Group,No,,,,,No match found,
Carnival Australia,No,,,,,No match found,
InfoTrack,No,,,,,No match found,
Medtronic Australasia,No,,,,,No match found,
Yahoo (Formerly Verizon Media),No,,,,,No match found,
NeuroRehab Allied Health Network,No,,,,,No match found,
4 Pines Brewing Company,No,,,,,No match found,
Macquarie Cloud Services,No,,,,,No match found,
Coleman Greig Lawyers,No,,,,,No match found,
Swisse Wellness Australia,No,,,,,No match found,
Cisco Systems Australia,No,,,,,No match found,
Jaybro Group,No,,,,,No match found,
DHL Express Australia,No,,,,,No match found,
SustainAbility Consulting,No,,,,,No match found,
This Is Flow,No,,,,,No match found,
Lotus People,No,,,,,No match found,
Inspire Accountants,No,,,,,No match found,
Cullen Jewellery,No,,,,,No match found,
Pragmateam,No,,,,,No match found,
Amstelveen,No,,,,,No match found,
ICD Property,No,,,,,No match found,
Stamford Capital Australia,No,,,,,No match found,
HiBob,No,,,,,No match found,
Four Drunk Parrots,No,,,,,No match found,
Glaukos Corporation,Yes,Glaukos Corporation,GKOS,NYSE,USD,Data found,"Glaukos Corporation (GKOS, NYSE)"
Canstar,Yes,Canstar Resources Inc.,ROX.V,TSXV,CAD,Data found,"Canstar Resources Inc. (ROX.V, TSXV); Canstar Resources Inc. (CSRNF, PNK)"
WW,Yes,"WW International, Inc.",WW,NASDAQ,USD,Data found,"WW International, Inc. (WW, NASDAQ); Wolverine World Wide, Inc. (WWW, NYSE); Westwater Resources, Inc. (WWR, AMEX); World Wrestling Entertainment, Inc. (WWE, NYSE); Woodward, Inc. (WWD, NASDAQ); World Wide Stone Corporation (WWST, PNK); Worldwide Strategies, Inc. (WWSG, PNK); World Wireless Communications, Inc. (WWRL, PNK); Wind Works Power Corp. (WWPW, PNK); Direxion World Without Waste ETF (WWOW, AMEX)"
Pendula,No,,,,,No match found,
CreativeCubes.co,No,,,,,No match found,
SEIVA,No,,,,,No match found,
Biogen,Yes,Biogen Inc.,BIIB,NASDAQ,USD,Data found,"BIOGEN PHARMACHEM INDUSTRIES L (BIOGEN.BO, BSE); Biogen Inc (0R1B.L, LSE); Biogen Inc. (IDP.DE, XETRA); Biogen Inc. (BIIB.SW, SIX); Biogen Inc. (BIIB, NASDAQ); Biogena Group Invest Ag (BIO.VI, VIE); BioGend Therapeutics Co., Ltd. (6733.TWO, TWO); INBIOGEN Co., Ltd. (101140.KS, KSC); Nath Bio-Genes (India) Limited (NATHBIOGEN.NS, NSE); Nath Bio-Genes (India) Limited (NATHBIOGEN.BO, BSE)"
Thoughtworks,Yes,"Thoughtworks Holding, Inc.",TWKS,NASDAQ,USD,Data found,"Thoughtworks Holding, Inc. (TWKS, NASDAQ)"
Banna Property Group,No,,,,,No match found,
NEOLINK,No,,,,,No match found,
Howden Insurance Brokers (Australia),No,,,,,No match found,
Engaging.io,No,,,,,No match found,
Bravure,No,,,,,No match found,
EFCOMM,No,,,,,No match found,
Response Security Services,No,,,,,No match found,
Entourage,Yes,Entourage Health Corp.,ENTG.V,TSXV,CAD,Data found,"Entourage Health Corp. (ETRGF, PNK); Entourage Health Corp. (ENTG.V, TSXV)"
General Mills,Yes,"General Mills, Inc.",GIS,NYSE,USD,Data found,"General Mills, Inc. (GRM.DE, XETRA); General Mills, Inc. (GIS.SW, SIX); General Mills, Inc. (GIS, NYSE); General Mills, Inc. (0R1X.L, LSE)"
BlueRock,No,Bluerock Total Income + Real Estate Fund,TIPRX,NASDAQ,USD,No financial data,"BlueRock Diamonds PLC (BRD.L, LSE); Bluerock Homes Trust, Inc. (BHM, NYSE); Bluerock Residential Growth REIT, Inc. (BRG-PD, AMEX); Bluerock Residential Growth REIT, Inc. (BRG-PC, AMEX); Bluerock Residential Growth REIT, Inc. (BRG, AMEX); Bluerock Total Income + Real Estate Fund (TIPRX, NASDAQ); Bluerock High Income Institutional Credit Fund - Class F (IIMFX, NASDAQ)"
AbbVie,Yes,AbbVie Inc.,ABBV,NYSE,USD,Data found,"AbbVie Inc (4AB.DU, DUS); AbbVie Inc. (ABBV.BA, BUE); AbbVie Inc. (ABBV, NYSE); AbbVie Inc. (4AB.DE, XETRA); AbbVie Inc. (0QCV.L, LSE)"
Aussie Broadband,Yes,Aussie Broadband Limited,ABB.AX,ASX,AUD,Data found,"Aussie Broadband Limited (ABB.AX, ASX)"
Displayr,No,,,,,No match found,
Insight,Yes,"Insight Enterprises, Inc.",NSIT,NASDAQ,USD,Data found,"Insights Network USD (INSTARUSD, CRYPTO); Insight Enterprises, Inc. (NSIT, NASDAQ); Insight Acquisition Corp. (INAQ-WT, NYSE); Insight Acquisition Corp. (INAQ-UN, NYSE); Insight Acquisition Corp. (INAQ, NYSE); Insight Select Income Fund (INSI, NYSE); Insight Business Support plc (IBSU.L, LSE); Insight Acquisition Corp. /DE (INAQU, NYSE); MS Insight Fund Class I (CPODX, NASDAQ); MS Insight Fund Class A (CPOAX, NASDAQ)"
SixPivot,No,,,,,No match found,
Dovetail,No,,,,,No match found,
Crowdstrike,Yes,"CrowdStrike Holdings, Inc.",CRWD,NASDAQ,USD,Data found,"CrowdStrike Holdings, Inc. (CRWD, NASDAQ)"
Salesforce,Yes,"Salesforce, Inc.",CRM,NYSE,USD,Data found,"Salesforce, Inc. (FOO.F, XETRA); Salesforce, Inc. (FOO.DE, XETRA); Salesforce, Inc. (CRM.NE, NEO); Salesforce, Inc. (CRM.BA, BUE); Salesforce, Inc. (CRM, NYSE); Leverage Shares 3x Salesforce.Com ETC (CRM3.L, LSE); Leverage Shares 2x Salesforce.com ETC A (CRM2.L, LSE); Leverage Shares -1x Salesforce.Com ETC (SCRM.L, LSE); Leverage Shares -1x Salesforce.Com ETC (SCRE.L, LSE); Leverage Shares -1x Salesforce.Com ETC (CRMS.L, LSE)"
Novo Nordisk,Yes,Novo Nordisk A/S,NVO,NYSE,USD,Data found,"Novo Nordisk A/S (NVO, NYSE); Novo Nordisk A/S (NOVO-B.CO, CPH); Novo Nordisk A/S (NOV.DE, XETRA); Novo Nordisk A/S (NOVC.DE, XETRA); Novo Nordisk A/S (NONOF, PNK)"
Kaine Mathrik Tech,No,,,,,No match found,
Kasada,No,,,,,No match found,
Finder,Yes,"Pathfinder Bancorp, Inc.",PBHC,NASDAQ,USD,Data found,"Finder Energy Holdings Limited (FDR.AX, ASX); Orefinders Resources Inc. (ORX.V, TSXV); Orefinders Resources Inc. (ORFDF, PNK); Pathfinder Minerals plc (PFP.L, LSE); Pathfinder Ventures Inc. (RV.V, TSXV); Pathfinder Ventures Inc. (RVRVF, PNK); Pathfinder Bancorp, Inc. (PBHC, NASDAQ); Pathfinder Cell Therapy, Inc. (PFND, PNK); Pathfinder Acquisition Corporation (PFDRW, NASDAQ); Pathfinder Acquisition Corporation (PFDRU, NASDAQ)"
Adobe,Yes,Adobe Inc.,ADBE,NASDAQ,USD,Data found,"Adobe Inc (0R2Y.L, LSE); Adobe Inc. (ADBE.SW, SIX); Adobe Inc. (ADBE, NASDAQ); Adobe Inc. (ADB.DE, XETRA)"
FSC Group,No,,,,,No match found,
Attach2 Pty Ltd,No,,,,,No match found,
TKV Group,No,,,,,No match found,
Beaumont People,No,,,,,No match found,
Scalapay,No,,,,,No match found,
UKG,No,L&G UK Gilt 0-5 Year UCITS ETF,UKG5.L,LSE,GBp,No financial data,"L&G UK Gilt 0-5 Year UCITS ETF (UKG5.L, LSE); Vanguard Funds Public Limited Company - Vanguard FTSE 100 UCITS ETF (VUKG.L, LSE)"
Commission Factory,No,,,,,No match found,
Meltwater Australia,No,,,,,No match found,
Struber,No,,,,,No match found,
PhoenixDX,No,,,,,No match found,
EstimateOne,No,,,,,No match found,
REA Group,Yes,REA Group Limited,REA.AX,ASX,AUD,Data found,"REA Group Limited (RPGRY, PNK); REA Group Limited (RPGRF, PNK); REA Group Limited (REA.AX, ASX)"
Atlassian,Yes,Atlassian Corporation,TEAM,NASDAQ,USD,Data found,"Atlassian Corporation (TEAM, NASDAQ)"
Sensei Project Solutions,No,,,,,No match found,
IComm,No,,,,,No match found,
Zoom Recruitment,No,,,,,No match found,
Baringa Partners,No,,,,,No match found,
SafetyCulture,No,,,,,No match found,
Cloudwerx,No,,,,,No match found,
Alluvium,No,,,,,No match found,
Red Hat,No,,,,,No match found,
Healthengine,No,,,,,No match found,
Bristol Myers Squibb,No,,,,,No match found,
Insight Australia,No,,,,,No match found,
Swisse Wellness,No,,,,,No match found,
Swyftx,No,,,,,No match found,
Tic Toc Online,No,,,,,No match found,
Smokeball,No,,,,,No match found,
Carlisle Homes,No,,,,,No match found,
Centorrino Technologies,No,,,,,No match found,
TRC Group,No,,,,,No match found,
Gridware,No,,,,,No match found,
The Network,No,,,,,No match found,
Katana1,No,,,,,No match found,
triSearch,No,,,,,No match found,
Seatram,No,,,,,No match found,
SCALERR,No,,,,,No match found,
Tectum Group,No,,,,,No match found,
The Drive Group,No,,,,,No match found,
Cox Purtell Staffing Services,No,,,,,No match found,
Tapanda Pty Ltd,No,,,,,No match found,
Corporeal Health,No,,,,,No match found,
Sensible,No,,,,,No match found,
Volvo Financial Services,No,,,,,No match found,
